Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
38922230,Ghost Wall,Sarah Moss,"Moss, Sarah",,"=""1783784458""","=""9781783784455""",0,Granta Books,Hardcover,152,2018,2018,,2024/04/12,to-read,to-read (#393),to-read,,,,0,0
17214,Starship Troopers,Robert A. Heinlein,"Heinlein, Robert A.",,"=""""","=""""",0,Ace Books,Mass Market Paperback,264,1987,1959,,2021/04/01,,,read,,,,1,0
380285,Thus Spoke Zarathustra,Friedrich Nietzsche,"Nietzsche, Friedrich",R.J. Hollingdale,"=""0140441182""","=""9780140441185""",5,Penguin Classics,Paperback,343,2003,1883,2024/04/12,2024/03/23,,,read,,,,1,0
9405673,Felâtun Bey ve Râkım Efendi,Ahmed Midhat Efendi,"Efendi, Ahmed Midhat",,"=""""","=""9789756446065""",0,Şule Yayınları,Paperback,214,2016,1875,,2024/04/11,,,read,,,,1,0
11167526,Mo'nun Gizemi (Mo'nun Gizemi #1),Gülten Dayıoğlu,"Dayıoğlu, Gülten",,"=""9754059802""","=""9789754059809""",0,Altın Kitaplar,Paperback,288,2000,1999,,2024/04/09,,,read,,,,1,0
34035690,The Disconnected,Oğuz Atay,"Atay, Oğuz","Sevin Seydi, Maurice Whitby","=""0995554307""","=""9780995554306""",0,Olric Press,Hardcover,714,2017,1972,,2024/04/09,to-read,to-read (#392),to-read,,,,0,0
39999,The Boy in the Striped Pajamas,John Boyne,"Boyne, John",,"=""0385751079""","=""9780385751070""",5,David Fickling Books,Hardcover,224,2006,2006,2024/04/06,2024/03/25,,,read,,,,1,0
38494614,Einfach gut! Deutsch für die Integration A1.1. Kurs- und Arbeitsbuch,Milena Angioni,"Angioni, Milena",Ines Hälbig,"=""3946447066""","=""9783946447061""",0,telc gGmbH,Paperback,,2016,,,2024/04/06,to-read,to-read (#391),to-read,,,,0,0
7339312,Friedrich Nietzsche: A Philosophical Biography,Julian Young,"Young, Julian",,"=""0521871174""","=""9780521871174""",0,Cambridge University Press,Hardcover,676,2010,2010,,2024/04/05,to-read,to-read (#390),to-read,,,,0,0
15768585,Begegnungen Deutsch als Fremdsprache A1+,Anne Buscha,"Buscha, Anne",Szilvia Szita,"=""3929526867""","=""9783929526868""",0,Schubert - Verlag ,Paperback,238,2011,2011,,2024/03/29,to-read,to-read (#389),to-read,,,,0,0
26873826,Grammatik aktiv: A1 - B1,Friederike Jin,"Jin, Friederike","Ute Voss, Maria Funk","=""306023972X""","=""9783060239726""",0,Cornelsen,Paperback,256,2013,2013,,2024/03/29,to-read,to-read (#388),to-read,,,,0,0
30735,The Complete Essays,Michel de Montaigne,"Montaigne, Michel de",M.A. Screech,"=""0140446044""","=""9780140446043""",0,Penguin Classics,Paperback,1344,1993,1580,,2024/03/25,to-read,to-read (#387),to-read,,,,0,0
52275335,How to Avoid a Climate Disaster: The Solutions We Have and the Breakthroughs We Need,Bill  Gates,"Gates, Bill",,"=""0241448301""","=""9780241448304""",0,Allen Lane,Hardcover,272,2021,2021,,2021/03/10,bought,bought (#106),read,,,,1,0
2346371,Delusion and Dream in Wilhelm Jensen's Gradiva,Sigmund Freud,"Freud, Sigmund","Wilhelm Hermann Jensen, Helen Downey","=""189229589X""","=""9781892295897""",4,Green Integer,Paperback,267,2003,1907,2024/03/16,2024/03/05,bought,bought (#194),read,"Kitabın hem İngilizcesini hem de Türkçesini okuduğum için bitirmem biraz zaman aldı. (İngilizcesini buradan okuyabilirsiniz: https://www.sas.upenn.edu/~cavitch/pdf-library/Freud_Gradiva.pdf) Öncelikle şunu söyleyeyim, Oda Yayınları'nın baskısını alıyorsanız benim yaptığım gibi Gradiva kitabını ayrıca alma hatasına düşmeyin çünkü Oda Yayınları'nın kitabı hem Gradiva'yı hem de Freud'un analizini içeriyor zaten. Freud'un analizinin çevirisi güzel yapılmış. Muhtemelen Almanca'dan çevirmişlerdir tabii ama en azından İngilizcesi ile Türkçesi arasında bir fark göremedim ben. Gradiva kitabına yaptığım yorumda da belirtmiştim, Freud Museum London tarafından düzenlenen bir etkinliğe (https://www.freud.org.uk/event/from-the-library-of-sigmund-freud-delusions-and-dreams-in-jensens-gradiva/) katılacağım için okudum bu kitapları. Bu müzenin etkinlikleri güzel oluyor genelde. Londra'ya gittiğimde ziyaret etseymişim keşke diye düşünüyorum hep, ama o zaman Freud ve eserlerine olan ilgim bu kadar yüksek değildi açıkçası.",,,1,0
54390506,A Brief History of Earth: Four Billion Years in Eight Chapters,Andrew H. Knoll,"Knoll, Andrew H.",,"=""0062853910""","=""9780062853912""",0,Custom House,Hardcover,272,2021,2021,,2024/03/13,"to-read, to-buy","to-read (#386), to-buy (#90)",to-read,,,,0,0
